"id","ride_id","type","data","created_at","updated_at","deleted_at"
116141184,21709796,"RIDECOORDS","22.3659237,91.8224374","2018-06-24 13:58:55","2018-06-24 13:58:55",NULL
116141310,21709796,"RIDECOORDS","22.3658889,91.8224717","2018-06-24 13:58:55","2018-06-24 13:58:55",NULL
116142461,21709796,"RIDECOORDS","22.3659136,91.8225236","2018-06-24 13:58:59","2018-06-24 13:58:59",NULL
116143396,21709796,"RIDECOORDS","22.3660352,91.8226038","2018-06-24 13:59:02","2018-06-24 13:59:02",NULL
116146049,21709796,"RIDECOORDS","22.3661941,91.8227608","2018-06-24 13:59:11","2018-06-24 13:59:11",NULL
116146193,21709796,"RIDECOORDS","22.3663313,91.82286","2018-06-24 13:59:11","2018-06-24 13:59:11",NULL
116146456,21709796,"RIDECOORDS","22.3661941,91.8227608","2018-06-24 13:59:12","2018-06-24 13:59:12",NULL
116147801,21709796,"RIDECOORDS","22.3664543,91.8229712","2018-06-24 13:59:17","2018-06-24 13:59:17",NULL
116149003,21709796,"RIDECOORDS","22.3664543,91.8229712","2018-06-24 13:59:20","2018-06-24 13:59:20",NULL
116149100,21709796,"RIDECOORDS","22.3664927,91.8230759","2018-06-24 13:59:21","2018-06-24 13:59:21",NULL
116149396,21709796,"RIDECOORDS","22.3665676,91.8231699","2018-06-24 13:59:22","2018-06-24 13:59:22",NULL
116151158,21709796,"RIDECOORDS","22.3666924,91.8233425","2018-06-24 13:59:27","2018-06-24 13:59:27",NULL
116151624,21709796,"RIDECOORDS","22.3668815,91.8236455","2018-06-24 13:59:29","2018-06-24 13:59:29",NULL
116153719,21709796,"RIDECOORDS","22.3670571,91.8238961","2018-06-24 13:59:36","2018-06-24 13:59:36",NULL
116153795,21709796,"RIDECOORDS","22.3671571,91.8241104","2018-06-24 13:59:36","2018-06-24 13:59:36",NULL
116154624,21709796,"RIDECOORDS","22.3672473,91.8243412","2018-06-24 13:59:39","2018-06-24 13:59:39",NULL
116155985,21709796,"RIDECOORDS","22.3673735,91.8246568","2018-06-24 13:59:44","2018-06-24 13:59:44",NULL
116157090,21709796,"RIDECOORDS","22.367455,91.8249595","2018-06-24 13:59:47","2018-06-24 13:59:47",NULL
116158333,21709796,"RIDECOORDS","22.3675541,91.8253158","2018-06-24 13:59:51","2018-06-24 13:59:51",NULL
116159236,21709796,"RIDECOORDS","22.3676401,91.825585","2018-06-24 13:59:54","2018-06-24 13:59:54",NULL
