"id","ride_id","type","data","created_at","updated_at","deleted_at"
3194960260,37390468,"RIDECOORDS","23.7853095,90.4003216","2018-10-10 21:14:09","2018-10-10 21:14:09",NULL
3194962682,37390468,"RIDECOORDS","23.7853094,90.4003216","2018-10-10 21:14:13","2018-10-10 21:14:13",NULL
3194964783,37390468,"RIDECOORDS","23.7853094,90.4003216","2018-10-10 21:14:16","2018-10-10 21:14:16",NULL
3194969418,37390468,"RIDECOORDS","23.7853094,90.4003216","2018-10-10 21:14:24","2018-10-10 21:14:24",NULL
3194971498,37390468,"RIDECOORDS","23.7853094,90.4003216","2018-10-10 21:14:27","2018-10-10 21:14:27",NULL
3194973705,37390468,"RIDECOORDS","23.7853094,90.4003216","2018-10-10 21:14:31","2018-10-10 21:14:31",NULL
3194975762,37390468,"RIDECOORDS","23.7853094,90.4003216","2018-10-10 21:14:35","2018-10-10 21:14:35",NULL
3194978353,37390468,"RIDECOORDS","23.7853094,90.4003216","2018-10-10 21:14:39","2018-10-10 21:14:39",NULL
3194980149,37390468,"RIDECOORDS","23.7853094,90.4003216","2018-10-10 21:14:42","2018-10-10 21:14:42",NULL
3194982482,37390468,"RIDECOORDS","23.7853094,90.4003216","2018-10-10 21:14:46","2018-10-10 21:14:46",NULL
3194984031,37390468,"RIDECOORDS","23.7853094,90.4003216","2018-10-10 21:14:49","2018-10-10 21:14:49",NULL
3194986576,37390468,"RIDECOORDS","23.7853094,90.4003216","2018-10-10 21:14:53","2018-10-10 21:14:53",NULL
3194988241,37390468,"RIDECOORDS","23.7853094,90.4003216","2018-10-10 21:14:56","2018-10-10 21:14:56",NULL
3194990518,37390468,"RIDECOORDS","23.7854218,90.4003525","2018-10-10 21:15:00","2018-10-10 21:15:00",NULL
3194992434,37390468,"RIDECOORDS","23.7855198,90.4003671","2018-10-10 21:15:03","2018-10-10 21:15:03",NULL
3194994156,37390468,"RIDECOORDS","23.7855805,90.4003723","2018-10-10 21:15:06","2018-10-10 21:15:06",NULL
3194995887,37390468,"RIDECOORDS","23.7856026,90.4003742","2018-10-10 21:15:09","2018-10-10 21:15:09",NULL
3194998327,37390468,"RIDECOORDS","23.7858247,90.4004099","2018-10-10 21:15:14","2018-10-10 21:15:14",NULL
3195000040,37390468,"RIDECOORDS","23.7859156,90.4004287","2018-10-10 21:15:16","2018-10-10 21:15:16",NULL
3195002416,37390468,"RIDECOORDS","23.7859805,90.4004468","2018-10-10 21:15:20","2018-10-10 21:15:20",NULL
3195004450,37390468,"RIDECOORDS","23.7860047,90.4004525","2018-10-10 21:15:23","2018-10-10 21:15:23",NULL
3195006705,37390468,"RIDECOORDS","23.7860532,90.400485","2018-10-10 21:15:27","2018-10-10 21:15:27",NULL
3195008937,37390468,"RIDECOORDS","23.7860901,90.4005001","2018-10-10 21:15:31","2018-10-10 21:15:31",NULL
3195010563,37390468,"RIDECOORDS","23.7861829,90.4005268","2018-10-10 21:15:34","2018-10-10 21:15:34",NULL
3195012894,37390468,"RIDECOORDS","23.7864892,90.4005971","2018-10-10 21:15:38","2018-10-10 21:15:38",NULL
3195015151,37390468,"RIDECOORDS","23.7867264,90.4006605","2018-10-10 21:15:42","2018-10-10 21:15:42",NULL
3195017331,37390468,"RIDECOORDS","23.7870003,90.4007179","2018-10-10 21:15:46","2018-10-10 21:15:46",NULL
3195019173,37390468,"RIDECOORDS","23.7871634,90.400742","2018-10-10 21:15:49","2018-10-10 21:15:49",NULL
3195020812,37390468,"RIDECOORDS","23.7873325,90.4007598","2018-10-10 21:15:52","2018-10-10 21:15:52",NULL
3195022867,37390468,"RIDECOORDS","23.7874838,90.4007774","2018-10-10 21:15:56","2018-10-10 21:15:56",NULL
3195024621,37390468,"RIDECOORDS","23.7876153,90.4007922","2018-10-10 21:15:59","2018-10-10 21:15:59",NULL
3195026274,37390468,"RIDECOORDS","23.787627,90.4007939","2018-10-10 21:16:02","2018-10-10 21:16:02",NULL
3195028233,37390468,"RIDECOORDS","23.7876809,90.400809","2018-10-10 21:16:06","2018-10-10 21:16:06",NULL
3195030472,37390468,"RIDECOORDS","23.7877225,90.4008113","2018-10-10 21:16:10","2018-10-10 21:16:10",NULL
3195032896,37390468,"RIDECOORDS","23.7878652,90.4006856","2018-10-10 21:16:15","2018-10-10 21:16:15",NULL
3195035202,37390468,"RIDECOORDS","23.7879997,90.4003746","2018-10-10 21:16:18","2018-10-10 21:16:18",NULL
3195037129,37390468,"RIDECOORDS","23.7880055,90.400175","2018-10-10 21:16:22","2018-10-10 21:16:22",NULL
3195039212,37390468,"RIDECOORDS","23.7880142,90.4001245","2018-10-10 21:16:26","2018-10-10 21:16:26",NULL
3195041584,37390468,"RIDECOORDS","23.7880182,90.4000429","2018-10-10 21:16:31","2018-10-10 21:16:31",NULL
3195043422,37390468,"RIDECOORDS","23.7880128,90.4000124","2018-10-10 21:16:33","2018-10-10 21:16:33",NULL
3195045284,37390468,"RIDECOORDS","23.7880102,90.399998","2018-10-10 21:16:37","2018-10-10 21:16:37",NULL
3195047015,37390468,"RIDECOORDS","23.7880096,90.3999944","2018-10-10 21:16:41","2018-10-10 21:16:41",NULL
3195048922,37390468,"RIDECOORDS","23.7880093,90.399993","2018-10-10 21:16:43","2018-10-10 21:16:43",NULL
3195050279,37390468,"RIDECOORDS","23.7880093,90.3999929","2018-10-10 21:16:46","2018-10-10 21:16:46",NULL
3195052337,37390468,"RIDECOORDS","23.7880093,90.3999928","2018-10-10 21:16:49","2018-10-10 21:16:49",NULL
3195053994,37390468,"RIDECOORDS","23.7880093,90.3999928","2018-10-10 21:16:52","2018-10-10 21:16:52",NULL
3195056028,37390468,"RIDECOORDS","23.7880165,90.3999578","2018-10-10 21:16:56","2018-10-10 21:16:56",NULL
