id,hashed_id,ride_distance,distance_from_gps
21709796,507N36,7065,7947
22199245,50PQS5,10843,6243
22243974,50RGJ4,24456,25081
22342590,51166A,3795,151
22422779,514599,9469,8808
22472006,516006,3270,1425
22498459,516TBT,5538,2199
22499656,5170LQ,14249,9728
22513902,517GGM,4889,1535
22514918,517HKI,12890,7981
22515246,517I1G,5714,2594
22516744,517JLE,7595,5186
22517267,517K8R,19154,12732
22519940,517N80,4654,3171
22520453,517NP3,11076,9060
22520769,517O5J,10212,7803
22520910,517OAA,14885,15683
22520944,517OBE,6076,3784
22521492,517OTM,7064,3350
22521978,517PFS,8813,4013
22522949,517QI9,3938,1823
22523580,517R9A,9688,6488
22523699,517RD9,6983,6834
22525410,517TAA,8450,4581
22525417,517TAH,16246,14668
22526284,51809E,10229,
22527403,5181GN,16761,10563
22527527,5181KR,7697,5497
22527799,5181TT,22216,8664
22531131,5185L1,4482,2675
22533031,5187OB,12408,8587
22534763,5189M3,7452,32396
22535383,518ACN,11967,11239
22536430,518BHK,8121,
22541136,518GOG,6913,6307
22541715,518HDP,9777,7727
22542097,518HQH,8356,4042
22543632,518JHM,8915,4392
22544083,518K2N,6207,1751
22545981,518M61,10280,7383
